incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
880887,2017-06-21,Georgia,White (county),0,0,Non-Shooting Incident||Defensive Use||Defensive Use - Victim stops crime||Defensive use - No shots fired||Brandishing/flourishing/open carry/lost/found,34.5508,-83.7236,1.0,1::38,1::Adult 18+,1::Male,,"0::Unharmed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
874589,2017-06-21,Louisiana,Denham Springs,1,0,"Shot - Dead (murder, accidental, suicide)||Drug involvement",30.364,-90.8555,1.0,0::19||1::23,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
872993,2017-06-21,California,Pasadena,0,0,"Non-Shooting Incident||Possession (gun(s) found during commission of other crimes)||Stolen/Illegally owned gun{s} recovered during arrest/warrant||Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",34.1492,-118.08,2.0,0::28,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
873174,2017-06-21,North Carolina,High Point,0,1,Shot - Wounded/Injured,35.9567,-79.9899,1.0,0::32||1::23,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
873434,2017-06-21,Indiana,Indianapolis,1,0,"Shot - Dead (murder, accidental, suicide)",39.818000000000005,-86.2762,1.0,0::31,0::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect
872610,2017-06-21,District of Columbia,Washington,1,0,"Shot - Dead (murder, accidental, suicide)",38.8983,-76.9275,1.0,0::41||1::29,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
874492,2017-06-21,Ohio,Youngstown,0,0,Shots Fired - No Injuries||Brandishing/flourishing/open carry/lost/found,41.117,-80.6697,1.0,0::31,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
872891,2017-06-21,Oklahoma,Oklahoma City,0,1,Shot - Wounded/Injured||Armed robbery with injury/death and/or evidence of DGU found,35.4964,-97.5341,1.0,,0::Adult 18+||1::Adult 18+,0::Female||1::Male,1::Armed Robbery,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
872794,2017-06-21,Georgia,Riverdale,1,0,"Shot - Dead (murder, accidental, suicide)",33.569,-84.3906,1.0,0::28||1::18,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
871878,2017-06-21,Missouri,Kansas City (Gladstone),1,1,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Suicide^||Attempted Murder/Suicide (one variable unsuccessful)||Domestic Violence",39.0184,-94.5778,1.0,,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Injured||1::Killed,0::Victim||1::Subject-Suspect
871974,2017-06-21,Illinois,Chicago,2,0,"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Domestic Violence",41.887,-87.6231,1.0,0::49,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Killed,0::Victim||1::Subject-Suspect
873796,2017-06-21,Illinois,Harvey,0,1,"Shot - Wounded/Injured||Drive-by (car to street, car to car)",41.6044,-87.6478,1.0,,,0::Male,,0::Injured,0::Victim
878296,2017-06-21,Minnesota,Saint Paul (Eagan),0,0,Non-Shooting Incident||Road rage||Brandishing/flourishing/open carry/lost/found,44.9488,-93.0906,1.0,0::43,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
872871,2017-06-21,Oregon,Central Point,1,0,"Shot - Dead (murder, accidental, suicide)||Domestic Violence||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )",42.3417,-122.941,1.0,0::58||1::55,0::Adult 18+||1::Adult 18+,0::Male||1::Female,1::Significant others - current or former,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
875171,2017-06-21,Nebraska,Lincoln,0,0,Non-Shooting Incident||Officer Involved Incident||Officer Involved Incident - Weapon involved but no shots fired||Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff||Possession of gun by felon or prohibited person||Brandishing/flourishing/open carry/lost/found||Stolen/Illegally owned gun{s} recovered during arrest/warrant,40.8079,-96.6823,1.0,0::48,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
872877,2017-06-21,Texas,San Antonio,0,1,Shot - Wounded/Injured,29.414,-98.4095,1.0,0::28,0::Adult 18+,0::Female,,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
875178,2017-06-21,Nebraska,Lincoln,0,0,Shots Fired - No Injuries,40.8059,-96.70700000000001,1.0,,,,,,
872889,2017-06-21,Louisiana,New Orleans,0,1,Shot - Wounded/Injured,30.0286,-90.0254,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
873646,2017-06-21,Oklahoma,Broken Arrow,0,1,Shot - Wounded/Injured||Armed robbery with injury/death and/or evidence of DGU found,36.0899,-95.7842,1.0,0::18||1::20||2::18,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,"0::Injured||1::Unharmed, Arrested||2::Unharmed, Arrested",0::Victim||1::Subject-Suspect||2::Subject-Suspect
872841,2017-06-21,Colorado,Parker,0,1,Shot - Wounded/Injured,39.5531,-104.789,1.0,,,0::Male,,0::Injured,0::Victim
874604,2017-06-21,Illinois,Rockford,0,0,"Non-Shooting Incident||Child Involved Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant||Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",42.2439,-89.0226,1.0,0::32,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
875173,2017-06-21,Nebraska,Lincoln,0,1,Shot - Wounded/Injured||Possession of gun by felon or prohibited person,40.7908,-96.7027,1.0,1::48,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
873833,2017-06-21,Illinois,Carbondale,0,0,Shots Fired - No Injuries,37.7325,-89.2127,1.0,,,,,,
